timestamp,level,service,module,customer_id,event,error_code,message
2026-01-01 02:08:49,INFO,vendefacil-pdv,pdv,CUST225,CAIXA_OPENED,PDV-101,Caixa terminal 01 aberto com sucesso pelo operador. [Cliente CUST225 - Empório Azevedo Me]
2026-01-01 03:50:22,INFO,vendefacil-pay,pay,CUST023,TEF_APPROVED,PAY-200,"Transação TEF aprovada. Cartão final **** 4321, bandeira Mastercard. [Cliente CUST023 - Rede Pacheco Eireli]"
2026-01-01 04:53:36,ERROR,vendefacil-estoque-sync,estoque,CUST123,SYNC_FAILED,STK-409,Conflito de versão na tabela de inventário entre filiais durante sync. [Cliente CUST123 - Centro de Santos Ltda]
2026-01-01 05:11:08,ERROR,vendefacil-pdv,pdv,CUST164,NFCe_SEFAZ_TIMEOUT,PDV-500,Timeout de 15000ms ao conectar com webservice da SEFAZ. Alternando para contingência offline. [Cliente CUST164 - Rede Camargo Ltda]
2026-01-01 05:29:44,ERROR,vendefacil-nfe-parser,estoque,CUST283,XML_PARSE_TIMEOUT,XML-500,Erro ao processar arquivo XML de NF-e: estouro de memória ou estrutura inválida. [Cliente CUST283 - Centro de Moreira Me]
2026-01-01 06:07:31,ERROR,vendefacil-estoque-sync,estoque,CUST164,SYNC_FAILED,STK-409,Conflito de versão na tabela de inventário entre filiais durante sync. [Cliente CUST164 - Rede Camargo Ltda]
2026-01-01 06:55:39,INFO,vendefacil-estoque-sync,estoque,CUST160,SYNC_COMPLETED,STK-200,Sincronização de estoque concluída para 450 SKUs em 1240ms. [Cliente CUST160 - Empório Câmara Ltda]
2026-01-01 13:45:35,INFO,vendefacil-estoque-sync,estoque,CUST300,SYNC_COMPLETED,STK-200,Sincronização de estoque concluída para 450 SKUs em 1240ms. [Cliente CUST300 - Lojas da Mata Me]
2026-01-01 18:10:52,ERROR,vendefacil-nfe-parser,estoque,CUST008,XML_PARSE_TIMEOUT,XML-500,Erro ao processar arquivo XML de NF-e: estouro de memória ou estrutura inválida. [Cliente CUST008 - Auto Peças Central]
2026-01-01 22:32:00,WARN,vendefacil-notifier,analytics,CUST267,SMTP_AUTH_ERROR,NOTIF-401,Falha de autenticação no servidor SMTP corporativo ao enviar relatório agendado. [Cliente CUST267 - Empório Aragão Comercial]
2026-01-02 06:51:57,ERROR,vendefacil-fiscal-sefaz,pdv,CUST213,SEFAZ_REJECTION,SEFAZ-539,Rejeição da SEFAZ estadual: Duplicidade de numeração de NFC-e transmitida. [Cliente CUST213 - Centro de Oliveira Comercial]
2026-01-02 09:06:06,ERROR,vendefacil-pdv,pdv,CUST217,NFCe_SEFAZ_TIMEOUT,PDV-500,Timeout de 15000ms ao conectar com webservice da SEFAZ. Alternando para contingência offline. [Cliente CUST217 - Distribuidora da Rocha Me]
